x,y,labels
-4.8345213,7.389643,28
-4.827445,7.392178,28
-4.9617853,7.209937,28
-2.0434892,6.501773,28
-5.106395,6.6857014,28
-6.8501215,5.7879972,28
-6.2883344,6.6380854,28
-6.1502194,6.7080283,28
-4.6449633,7.067135,28
-4.5633607,7.2328672,28
-4.2916856,6.9464707,28
-4.2811456,6.9663224,28
-5.0308614,7.2621164,28
-1.6429483,8.376805,28
-3.5950663,6.4325643,28
-5.2325516,6.6193285,28
-3.5116248,5.971459,28
-3.4628656,6.743287,28
-6.2402153,7.7454166,28
-3.247184,7.1488028,28
-2.949051,7.564829,28
-2.8098195,6.8050194,28
-2.9212537,7.2918353,28
-2.916528,7.862917,28
-3.3284328,5.5856247,28
-3.13292,6.265114,28
-2.6721265,6.5779552,28
-2.9418447,6.1255817,28
-2.6625786,8.281231,28
-2.67218,8.136372,28
-1.4960291,6.5912476,28
-6.0885553,7.3343005,28
-6.174415,7.5214386,28
-2.6459544,8.425558,28
-4.5384336,6.755565,28
-5.852225,6.9017086,28
-5.80544,6.485415,28
-3.4336169,5.489139,28
-5.2310967,5.5196133,28
-4.7014017,5.0863214,28
-1.860065,6.652699,28
-2.241923,6.713615,28
-4.601035,5.1975474,28
-4.580417,5.198069,28
-2.384586,8.662642,28
-4.677334,5.9364605,28
-1.359915,6.6834764,28
-4.8348203,6.0993266,28
-2.5117276,7.9941306,28
-4.0075483,6.3148003,28
-4.287508,6.766488,28
-4.2004986,6.5008955,28
-4.1425424,6.1626225,28
-6.609615,6.5164547,28
-6.7338963,6.707223,28
-6.877987,6.800182,28
-6.920279,6.8212514,28
-6.6506076,6.658229,28
-6.742553,6.8817754,28
-6.5807543,7.002927,28
-3.0568762,5.75253,28
-6.5248756,7.297632,28
-6.699909,7.0031137,28
-6.437902,7.210482,28
-6.4356365,7.2151084,28
-4.7134304,3.0045276,30
-3.7656648,0.98092216,30
-4.81592,3.1192,30
-2.1886833,1.6578913,30
-4.5553484,3.1291015,30
-2.1191368,1.7931141,30
-2.356771,1.4635053,30
-4.579324,2.8800921,30
-4.108476,3.0350106,30
-4.808642,2.633326,30
-4.482238,2.1721117,30
-4.5136433,2.2091823,30
-7.083527,6.3813868,30
-3.7789974,-1.6949068,30
-3.8910947,-1.7095479,30
-4.153277,3.067121,30
-4.400773,3.029047,30
-7.153555,6.393335,30
-7.0710273,6.3292117,30
-4.2307734,2.247555,30
-4.8994913,2.1846774,30
-3.5033555,0.8536469,30
-4.8477592,2.2483492,30
-4.524266,2.0808208,30
-3.7176192,-1.1294461,29
0.53349674,0.6344725,7
0.57137775,0.6988904,7
0.7467224,0.15017635,7
0.32178488,0.43579963,7
0.16253589,0.45061496,7
0.7184267,-0.12337801,7
0.85554224,1.0793327,7
-0.05461783,0.44714502,7
0.9558765,-0.07156653,7
0.63978535,0.7559011,7
0.9542147,-0.22134762,7
-0.5091008,0.9009989,7
0.08899127,0.6070699,7
0.262636,0.7225124,7
8.675028,7.7429852,4
8.8389435,8.808575,4
-4.038175,-1.5613445,4
-3.8418052,-1.5588878,4
8.90641,8.8779,4
8.855682,8.380089,4
8.932597,7.828041,4
8.99224,8.789285,4
-4.106037,-1.3925228,4
-4.1382613,-1.386615,4
8.922718,7.9589763,4
8.970519,8.950142,4
-4.2177715,-1.570441,4
8.867612,8.980918,4
8.856413,7.8876395,4
9.022215,8.914239,4
-3.6002889,-1.3222824,4
8.656547,8.226744,4
-3.6705241,-1.0065297,4
9.017427,8.859486,4
8.716085,8.09497,4
9.099594,8.913703,4
-3.59104,-1.3305696,4
8.667197,8.031815,4
8.953928,8.853892,4
-3.6688225,-1.2601221,4
8.815971,8.182191,4
-5.6917963,5.854458,13
0.31250954,-0.97467375,26
0.025316743,-1.0392449,26
0.0749331,1.0261151,26
0.36416954,1.264216,26
-0.62411577,-1.2386115,26
-0.05813807,-1.4099896,26
3.0635943e-05,-1.3266503,26
-3.1349669,0.4967924,26
0.110603325,-1.2099116,26
-0.17082183,-1.2321286,26
0.35890427,-1.0780119,26
0.22457401,-0.44812807,26
-1.5540705,1.0539355,26
0.22455171,-0.5355108,26
0.32413292,-0.74126816,26
-0.45224833,0.9494753,26
-0.13200909,1.0605646,26
-5.542079,5.3339195,26
0.22878528,1.0584158,26
0.28963596,-1.2228882,26
0.26821935,1.4094698,26
0.42644674,1.3170098,26
0.19933183,-1.1410402,26
0.36229023,1.234811,26
-3.219974,2.9525557,2
-3.218428,3.3751566,2
-3.0544672,3.2462034,2
-0.6892898,7.3743615,24
-0.57162476,7.1423707,24
-0.5271131,7.7280374,24
-0.38251695,7.8220825,24
-0.4923934,7.2523484,24
-0.30745164,7.5883183,24
-0.087073505,7.748863,24
-0.3599877,7.591935,24
-0.22370532,7.6926813,24
-0.10797363,7.6330504,24
-4.619493,1.3333243,5
-4.794492,6.265328,33
-4.9009075,5.3634505,33
-0.07223656,-0.11327018,16
-3.19465,6.6846805,19
-4.6066136,8.05947,19
-4.277593,7.7350626,19
-4.6613417,7.937166,19
-4.3845263,7.6839294,19
-4.5561304,7.690541,19
0.20171386,2.7182388,12
0.39157954,1.950721,12
0.07665798,2.5258744,12
0.19703326,2.4964137,12
0.15312207,2.2859478,12
0.00653536,2.5771406,12
0.4857811,1.8922646,12
0.2945606,2.428543,12
0.22145669,2.4823482,12
0.10265257,2.6342793,12
0.36850268,2.3514268,12
0.9958655,-0.41248718,27
